-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2025 through 12/31/2025 in UTC
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,DOY,T2M
-2.0,41.25,2025,1,28.6
-2.0,41.875,2025,1,27.25
-2.0,42.5,2025,1,27.09
-2.0,43.125,2025,1,26.96
-2.0,43.75,2025,1,26.87
-2.0,44.375,2025,1,26.87
-2.0,45.0,2025,1,26.92
-2.0,45.625,2025,1,27.04
-2.0,46.25,2025,1,27.16
-2.0,46.875,2025,1,27.28
-2.0,47.5,2025,1,27.41
-2.0,48.125,2025,1,27.36
-2.0,48.75,2025,1,27.3
-2.0,49.375,2025,1,27.15
-2.0,50.0,2025,1,27.06
-2.0,50.625,2025,1,26.88
-1.5,41.25,2025,1,29.81
-1.5,41.875,2025,1,27.61
-1.5,42.5,2025,1,26.98
-1.5,43.125,2025,1,26.93
-1.5,43.75,2025,1,26.86
-1.5,44.375,2025,1,26.79
-1.5,45.0,2025,1,26.74
-1.5,45.625,2025,1,26.83
-1.5,46.25,2025,1,27.05
-1.5,46.875,2025,1,27.18
-1.5,47.5,2025,1,27.35
-1.5,48.125,2025,1,27.21
-1.5,48.75,2025,1,27.18
-1.5,49.375,2025,1,27.12
-1.5,50.0,2025,1,27.0
-1.5,50.625,2025,1,26.79
-1.0,41.25,2025,1,30.11
-1.0,41.875,2025,1,28.52
-1.0,42.5,2025,1,27.0
-1.0,43.125,2025,1,26.84
-1.0,43.75,2025,1,26.8
-1.0,44.375,2025,1,26.7
-1.0,45.0,2025,1,26.6
-1.0,45.625,2025,1,26.61
-1.0,46.25,2025,1,26.78
-1.0,46.875,2025,1,27.03
-1.0,47.5,2025,1,27.21
-1.0,48.125,2025,1,27.08
-1.0,48.75,2025,1,27.01
-1.0,49.375,2025,1,26.96
-1.0,50.0,2025,1,26.92
-1.0,50.625,2025,1,26.82
-0.5,41.25,2025,1,30.78
-0.5,41.875,2025,1,29.9
-0.5,42.5,2025,1,27.77
-0.5,43.125,2025,1,26.79
-0.5,43.75,2025,1,26.74
-0.5,44.375,2025,1,26.64
-0.5,45.0,2025,1,26.52
-0.5,45.625,2025,1,26.49
-0.5,46.25,2025,1,26.55
-0.5,46.875,2025,1,26.77
-0.5,47.5,2025,1,26.94
-0.5,48.125,2025,1,26.88
-0.5,48.75,2025,1,26.73
-0.5,49.375,2025,1,26.74
-0.5,50.0,2025,1,26.79
-0.5,50.625,2025,1,26.81
-1.7975103014118005e-13,41.25,2025,1,31.22
-1.7975103014118005e-13,41.875,2025,1,30.79
-1.7975103014118005e-13,42.5,2025,1,29.26
-1.7975103014118005e-13,43.125,2025,1,27.25
-1.7975103014118005e-13,43.75,2025,1,26.68
-1.7975103014118005e-13,44.375,2025,1,26.61
-1.7975103014118005e-13,45.0,2025,1,26.48
-1.7975103014118005e-13,45.625,2025,1,26.41
-1.7975103014118005e-13,46.25,2025,1,26.4
-1.7975103014118005e-13,46.875,2025,1,26.51
-1.7975103014118005e-13,47.5,2025,1,26.62
-1.7975103014118005e-13,48.125,2025,1,26.66
-1.7975103014118005e-13,48.75,2025,1,26.58
-1.7975103014118005e-13,49.375,2025,1,26.65
-1.7975103014118005e-13,50.0,2025,1,26.71
-1.7975103014118005e-13,50.625,2025,1,26.74
0.5,41.25,2025,1,31.27
0.5,41.875,2025,1,31.12
0.5,42.5,2025,1,30.39
0.5,43.125,2025,1,28.74
0.5,43.75,2025,1,26.93
0.5,44.375,2025,1,26.58
0.5,45.0,2025,1,26.48
0.5,45.625,2025,1,26.38
0.5,46.25,2025,1,26.31
0.5,46.875,2025,1,26.34
0.5,47.5,2025,1,26.4
0.5,48.125,2025,1,26.5
0.5,48.75,2025,1,26.56
0.5,49.375,2025,1,26.59
0.5,50.0,2025,1,26.65
0.5,50.625,2025,1,26.6
1.0,41.25,2025,1,31.3
1.0,41.875,2025,1,31.18
1.0,42.5,2025,1,30.75
1.0,43.125,2025,1,30.1
1.0,43.75,2025,1,28.19
1.0,44.375,2025,1,26.62
1.0,45.0,2025,1,26.42
1.0,45.625,2025,1,26.33
1.0,46.25,2025,1,26.28
1.0,46.875,2025,1,26.26
1.0,47.5,2025,1,26.27
1.0,48.125,2025,1,26.37
1.0,48.75,2025,1,26.46
1.0,49.375,2025,1,26.47
1.0,50.0,2025,1,26.59
1.0,50.625,2025,1,26.5
1.5,41.25,2025,1,30.43
1.5,41.875,2025,1,30.66
1.5,42.5,2025,1,30.61
1.5,43.125,2025,1,30.2
1.5,43.75,2025,1,29.72
1.5,44.375,2025,1,28.33
1.5,45.0,2025,1,26.55
1.5,45.625,2025,1,26.27
1.5,46.25,2025,1,26.19
1.5,46.875,2025,1,26.22
1.5,47.5,2025,1,26.25
1.5,48.125,2025,1,26.29
1.5,48.75,2025,1,26.36
1.5,49.375,2025,1,26.37
1.5,50.0,2025,1,26.47
1.5,50.625,2025,1,26.45
2.0,41.25,2025,1,29.52
2.0,41.875,2025,1,29.6
2.0,42.5,2025,1,29.76
2.0,43.125,2025,1,29.29
2.0,43.75,2025,1,29.58
2.0,44.375,2025,1,29.54
2.0,45.0,2025,1,28.15
2.0,45.625,2025,1,26.59
2.0,46.25,2025,1,26.13
2.0,46.875,2025,1,26.13
2.0,47.5,2025,1,26.18
2.0,48.125,2025,1,26.25
2.0,48.75,2025,1,26.3
2.0,49.375,2025,1,26.3
2.0,50.0,2025,1,26.31
2.0,50.625,2025,1,26.36
2.5,41.25,2025,1,28.89
2.5,41.875,2025,1,27.87
2.5,42.5,2025,1,27.81
2.5,43.125,2025,1,27.73
2.5,43.75,2025,1,28.81
2.5,44.375,2025,1,29.26
2.5,45.0,2025,1,28.75
2.5,45.625,2025,1,27.35
2.5,46.25,2025,1,26.36
2.5,46.875,2025,1,26.07
2.5,47.5,2025,1,26.06
2.5,48.125,2025,1,26.12
2.5,48.75,2025,1,26.18
2.5,49.375,2025,1,26.2
2.5,50.0,2025,1,26.23
2.5,50.625,2025,1,26.33
3.0,41.25,2025,1,28.13
3.0,41.875,2025,1,26.84
3.0,42.5,2025,1,28.23
3.0,43.125,2025,1,27.49
3.0,43.75,2025,1,28.06
3.0,44.375,2025,1,28.37
3.0,45.0,2025,1,28.44
3.0,45.625,2025,1,27.62
3.0,46.25,2025,1,26.88
3.0,46.875,2025,1,26.17
3.0,47.5,2025,1,26.0
3.0,48.125,2025,1,26.01
3.0,48.75,2025,1,26.11
3.0,49.375,2025,1,26.14
3.0,50.0,2025,1,26.13
3.0,50.625,2025,1,26.27
3.5,41.25,2025,1,27.11
3.5,41.875,2025,1,27.54
3.5,42.5,2025,1,28.72
3.5,43.125,2025,1,28.56
3.5,43.75,2025,1,26.85
3.5,44.375,2025,1,26.69
3.5,45.0,2025,1,27.57
3.5,45.625,2025,1,27.4
3.5,46.25,2025,1,26.76
3.5,46.875,2025,1,26.45
3.5,47.5,2025,1,26.05
3.5,48.125,2025,1,25.95
3.5,48.75,2025,1,26.02
3.5,49.375,2025,1,26.1
3.5,50.0,2025,1,26.09
3.5,50.625,2025,1,26.16
4.0,41.25,2025,1,27.12
4.0,41.875,2025,1,28.28
4.0,42.5,2025,1,28.73
4.0,43.125,2025,1,28.01
4.0,43.75,2025,1,26.4
4.0,44.375,2025,1,25.77
4.0,45.0,2025,1,26.91
4.0,45.625,2025,1,26.94
4.0,46.25,2025,1,27.07
4.0,46.875,2025,1,26.69
4.0,47.5,2025,1,26.11
4.0,48.125,2025,1,25.96
4.0,48.75,2025,1,25.96
4.0,49.375,2025,1,26.05
4.0,50.0,2025,1,26.09
4.0,50.625,2025,1,26.1
4.5,41.25,2025,1,25.63
4.5,41.875,2025,1,28.46
4.5,42.5,2025,1,28.05
4.5,43.125,2025,1,26.72
4.5,43.75,2025,1,25.84
